 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 A linear relationship was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                       31.0000 seconds
 Time Step:                                           0.0002 seconds
 Iterations:                                          155000
 Maximum Temperature :                             1800.0522 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                              462.0497 K - Change from last time step:      -0.0015 K
 Average(algebraic, non-weigthed) Temperature :    1733.5232 K - Change from last time step:      -0.0003 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1800.0522           720.0000         188.4790           1.0000
     1    2    0.0000    0.0050   1800.0520           720.0000         188.4790           1.0000
     1    3    0.0000    0.0100   1800.0509           720.0000         188.4789           1.0000
     1    4    0.0000    0.0150   1800.0488           720.0000         188.4788           1.0000
     1    5    0.0000    0.0200   1800.0459           720.0000         188.4786           1.0000
     1    6    0.0000    0.0250   1800.0420           720.0000         188.4784           1.0000
     1    7    0.0000    0.0300   1800.0371           720.0000         188.4781           1.0000
     1    8    0.0000    0.0350   1800.0311           720.0000         188.4778           1.0000
     1    9    0.0000    0.0400   1800.0240           720.0000         188.4774           1.0000
     1   10    0.0000    0.0450   1800.0158           720.0000         188.4769           1.0000
     1   11    0.0000    0.0500   1800.0066         10301.6542         188.4747           1.0000
     1   12    0.0000    0.0550   1799.9932         10301.6542         188.3367           0.9995
     1   13    0.0000    0.0600   1799.9423         10301.6542         187.8137           0.9978
     1   14    0.0000    0.0650   1799.7789         10301.6542         186.1409           0.9923
     1   15    0.0000    0.0700   1799.2914         10301.6542         181.2079           0.9757
     1   16    0.0000    0.0750   1797.9232         10301.6542         167.8115           0.9293
     1   17    0.0000    0.0800   1794.0690         10301.6542         133.6163           0.7986
     1   18    0.0000    0.0850   1771.6186         10301.6542          37.5750           0.0371
     1   19    0.0000    0.0900   1630.3607           703.0000          35.7443           0.0000
     1   20    0.0000    0.0950   1456.4223           703.0000          33.7441           0.0000
     1   21    0.0000    0.1000   1242.9382           703.0000          31.2890           0.0000
     2    1    0.0050    0.0000   1800.0522           720.0000         188.4790           1.0000
     2    2    0.0050    0.0050   1800.0520           720.0000         188.4790           1.0000
     2    3    0.0050    0.0100   1800.0509           720.0000         188.4789           1.0000
     2    4    0.0050    0.0150   1800.0488           720.0000         188.4788           1.0000
     2    5    0.0050    0.0200   1800.0459           720.0000         188.4786           1.0000
     2    6    0.0050    0.0250   1800.0420           720.0000         188.4784           1.0000
     2    7    0.0050    0.0300   1800.0371           720.0000         188.4781           1.0000
     2    8    0.0050    0.0350   1800.0311           720.0000         188.4778           1.0000
     2    9    0.0050    0.0400   1800.0240           720.0000         188.4774           1.0000
     2   10    0.0050    0.0450   1800.0158           720.0000         188.4769           1.0000
     2   11    0.0050    0.0500   1800.0066         10301.6542         188.4747           1.0000
     2   12    0.0050    0.0550   1799.9932         10301.6542         188.3367           0.9995
     2   13    0.0050    0.0600   1799.9423         10301.6542         187.8137           0.9978
