 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 Lever rule was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      516.0000 seconds
 Time Step:                                           0.0003 seconds
 Iterations:                                         2064000
 Maximum Temperature :                             1799.7014 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                             1173.8946 K - Change from last time step:      -0.0000 K
 Average(algebraic, non-weigthed) Temperature :    1636.2764 K - Change from last time step:      -0.0001 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1799.7014         38674.9778         175.9622           0.9577
     1    2    0.0000    0.0050   1799.6632         38369.7268         174.4897           0.9526
     1    3    0.0000    0.0100   1799.4533         36756.2319         166.7390           0.9252
     1    4    0.0000    0.0150   1798.9664         33391.1482         150.7663           0.8662
     1    5    0.0000    0.0200   1797.9128         27548.7814         123.7620           0.7559
     1    6    0.0000    0.0250   1795.4149         18672.1910          85.1995           0.5620
     1    7    0.0000    0.0300   1788.5360          8680.5770          48.5964           0.2710
     1    8    0.0000    0.0350   1773.6608          3394.5421          37.5047           0.0274
     1    9    0.0000    0.0400   1753.4740           703.0000          37.1602           0.0000
     1   10    0.0000    0.0450   1732.4090           703.0000          36.9179           0.0000
     1   11    0.0000    0.0500   1710.4719           703.0000          36.6656           0.0000
     1   12    0.0000    0.0550   1687.6420           703.0000          36.4031           0.0000
     1   13    0.0000    0.0600   1663.9026           703.0000          36.1301           0.0000
     1   14    0.0000    0.0650   1639.2413           703.0000          35.8465           0.0000
     1   15    0.0000    0.0700   1613.6499           703.0000          35.5522           0.0000
     1   16    0.0000    0.0750   1587.1241           703.0000          35.2471           0.0000
     1   17    0.0000    0.0800   1559.6631           703.0000          34.9313           0.0000
     1   18    0.0000    0.0850   1531.2690           703.0000          34.6048           0.0000
     1   19    0.0000    0.0900   1501.9469           703.0000          34.2676           0.0000
     1   20    0.0000    0.0950   1471.7034           703.0000          33.9198           0.0000
     1   21    0.0000    0.1000   1440.5475           703.0000          33.5615           0.0000
     2    1    0.0050    0.0000   1799.7014         38674.9719         175.9622           0.9577
     2    2    0.0050    0.0050   1799.6632         38369.7204         174.4897           0.9526
     2    3    0.0050    0.0100   1799.4533         36756.2231         166.7390           0.9252
     2    4    0.0050    0.0150   1798.9664         33391.1348         150.7662           0.8662
     2    5    0.0050    0.0200   1797.9128         27548.7614         123.7620           0.7559
     2    6    0.0050    0.0250   1795.4149         18672.1652          85.1994           0.5620
     2    7    0.0050    0.0300   1788.5360          8680.5578          48.5964           0.2710
     2    8    0.0050    0.0350   1773.6607          3394.5362          37.5047           0.0274
     2    9    0.0050    0.0400   1753.4739           703.0000          37.1602           0.0000
     2   10    0.0050    0.0450   1732.4090           703.0000          36.9179           0.0000
     2   11    0.0050    0.0500   1710.4719           703.0000          36.6656           0.0000
     2   12    0.0050    0.0550   1687.6419           703.0000          36.4031           0.0000
     2   13    0.0050    0.0600   1663.9025           703.0000          36.1301           0.0000
     2   14    0.0050    0.0650   1639.2412           703.0000          35.8465           0.0000
     2   15    0.0050    0.0700   1613.6498           703.0000          35.5522           0.0000
     2   16    0.0050    0.0750   1587.1240           703.0000          35.2471           0.0000
     2   17    0.0050    0.0800   1559.6630           703.0000          34.9313           0.0000
     2   18    0.0050    0.0850   1531.2690           703.0000          34.6048           0.0000
     2   19    0.0050    0.0900   1501.9468           703.0000          34.2676           0.0000
     2   20    0.0050    0.0950   1471.7034           703.0000          33.9198           0.0000
     2   21    0.0050    0.1000   1440.5474           703.0000          33.5615           0.0000
     3    1    0.0100    0.0000   1799.7014         38674.9664         175.9622           0.9577
     3    2    0.0100    0.0050   1799.6632         38369.7144         174.4896           0.9526
     3    3    0.0100    0.0100   1799.4533         36756.2147         166.7389           0.9252
     3    4    0.0100    0.0150   1798.9664         33391.1220         150.7661           0.8662
     3    5    0.0100    0.0200   1797.9128         27548.7424         123.7619           0.7559
     3    6    0.0100    0.0250   1795.4149         18672.1407          85.1993           0.5620
     3    7    0.0100    0.0300   1788.5360          8680.5394          48.5963           0.2710
     3    8    0.0100    0.0350   1773.6607          3394.5306          37.5047           0.0274
     3    9    0.0100    0.0400   1753.4739           703.0000          37.1601           0.0000
     3   10    0.0100    0.0450   1732.4089           703.0000          36.9179           0.0000
     3   11    0.0100    0.0500   1710.4718           703.0000          36.6656           0.0000
     3   12    0.0100    0.0550   1687.6419           703.0000          36.4031           0.0000
     3   13    0.0100    0.0600   1663.9025           703.0000          36.1301           0.0000
     3   14    0.0100    0.0650   1639.2412           703.0000          35.8465           0.0000
     3   15    0.0100    0.0700   1613.6498           703.0000          35.5522           0.0000
     3   16    0.0100    0.0750   1587.1240           703.0000          35.2471           0.0000
     3   17    0.0100    0.0800   1559.6630           703.0000          34.9313           0.0000
     3   18    0.0100    0.0850   1531.2690           703.0000          34.6048           0.0000
     3   19    0.0100    0.0900   1501.9468           703.0000          34.2676           0.0000
     3   20    0.0100    0.0950   1471.7034           703.0000          33.9198           0.0000
     3   21    0.0100    0.1000   1440.5474           703.0000          33.5615           0.0000
     4    1    0.0150    0.0000   1799.7014         38674.9611         175.9622           0.9577
     4    2    0.0150    0.0050   1799.6632         38369.7087         174.4896           0.9526
     4    3    0.0150    0.0100   1799.4533         36756.2068         166.7389           0.9252
     4    4    0.0150    0.0150   1798.9664         33391.1099         150.7661           0.8662
     4    5    0.0150    0.0200   1797.9128         27548.7244         123.7618           0.7559
     4    6    0.0150    0.0250   1795.4148         18672.1175          85.1992           0.5620
     4    7    0.0150    0.0300   1788.5360          8680.5221          48.5963           0.2710
     4    8    0.0150    0.0350   1773.6607          3394.5253          37.5047           0.0274
     4    9    0.0150    0.0400   1753.4738           703.0000          37.1601           0.0000
     4   10    0.0150    0.0450   1732.4089           703.0000          36.9179           0.0000
     4   11    0.0150    0.0500   1710.4718           703.0000          36.6656           0.0000
     4   12    0.0150    0.0550   1687.6418           703.0000          36.4031           0.0000
     4   13    0.0150    0.0600   1663.9024           703.0000          36.1301           0.0000
     4   14    0.0150    0.0650   1639.2412           703.0000          35.8465           0.0000
