 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 Lever rule was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      128.0000 seconds
 Time Step:                                           0.0003 seconds
 Iterations:                                          512000
 Maximum Temperature :                             1800.3193 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                              970.1063 K - Change from last time step:       0.0002 K
 Average(algebraic, non-weigthed) Temperature :    1700.1399 K - Change from last time step:      -0.0001 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1800.3193           720.0000         188.4944           1.0000
     1    2    0.0000    0.0050   1800.3168           720.0000         188.4942           1.0000
     1    3    0.0000    0.0100   1800.3043           720.0000         188.4935           1.0000
     1    4    0.0000    0.0150   1800.2824           720.0000         188.4922           1.0000
     1    5    0.0000    0.0200   1800.2514           720.0000         188.4905           1.0000
     1    6    0.0000    0.0250   1800.2122           720.0000         188.4882           1.0000
     1    7    0.0000    0.0300   1800.1659           720.0000         188.4855           1.0000
     1    8    0.0000    0.0350   1800.1136           720.0000         188.4825           1.0000
     1    9    0.0000    0.0400   1800.0569           720.0000         188.4793           1.0000
     1   10    0.0000    0.0450   1799.9970         41166.7191         188.0526           0.9986
     1   11    0.0000    0.0500   1799.8360         39779.7590         181.3077           0.9760
     1   12    0.0000    0.0550   1799.1302         34468.3699         155.8496           0.8854
     1   13    0.0000    0.0600   1795.7517         19586.8855          88.9910           0.5839
     1   14    0.0000    0.0650   1774.8543          3585.1291          37.6355           0.0392
     1   15    0.0000    0.0700   1731.7212           703.0000          36.9100           0.0000
     1   16    0.0000    0.0750   1685.0509           703.0000          36.3733           0.0000
     1   17    0.0000    0.0800   1635.0430           703.0000          35.7982           0.0000
     1   18    0.0000    0.0850   1581.8519           703.0000          35.1865           0.0000
     1   19    0.0000    0.0900   1525.6614           703.0000          34.5403           0.0000
     1   20    0.0000    0.0950   1466.6315           703.0000          33.8615           0.0000
     1   21    0.0000    0.1000   1404.8507           703.0000          33.1510           0.0000
     2    1    0.0050    0.0000   1800.3192           720.0000         188.4944           1.0000
     2    2    0.0050    0.0050   1800.3168           720.0000         188.4942           1.0000
     2    3    0.0050    0.0100   1800.3043           720.0000         188.4935           1.0000
     2    4    0.0050    0.0150   1800.2824           720.0000         188.4922           1.0000
     2    5    0.0050    0.0200   1800.2514           720.0000         188.4905           1.0000
     2    6    0.0050    0.0250   1800.2122           720.0000         188.4882           1.0000
     2    7    0.0050    0.0300   1800.1659           720.0000         188.4855           1.0000
     2    8    0.0050    0.0350   1800.1136           720.0000         188.4825           1.0000
     2    9    0.0050    0.0400   1800.0569           720.0000         188.4793           1.0000
     2   10    0.0050    0.0450   1799.9970         41166.7176         188.0526           0.9986
     2   11    0.0050    0.0500   1799.8360         39779.7402         181.3076           0.9760
     2   12    0.0050    0.0550   1799.1301         34468.3156         155.8493           0.8854
     2   13    0.0050    0.0600   1795.7516         19586.7754          88.9906           0.5839
