 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 Lever rule was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      462.0000 seconds
 Time Step:                                           0.0003 seconds
 Iterations:                                         1848000
 Maximum Temperature :                             1799.8653 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                             1182.3551 K - Change from last time step:      -0.0000 K
 Average(algebraic, non-weigthed) Temperature :    1647.2314 K - Change from last time step:      -0.0001 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1799.8653         40027.0597         182.5076           0.9800
     1    2    0.0000    0.0050   1799.8439         39846.2853         181.6304           0.9771
     1    3    0.0000    0.0100   1799.7257         38870.8126         176.9080           0.9609
     1    4    0.0000    0.0150   1799.4499         36730.7760         166.6172           0.9248
     1    5    0.0000    0.0200   1798.8633         32739.2948         147.7047           0.8544
     1    6    0.0000    0.0250   1797.5705         25985.1867         116.7219           0.7244
     1    7    0.0000    0.0300   1794.2876         16049.6576          74.6374           0.4959
     1    8    0.0000    0.0350   1784.8240          6431.6508          42.5088           0.1823
     1    9    0.0000    0.0400   1766.1539           703.0000          37.3060           0.0000
     1   10    0.0000    0.0450   1745.3123           703.0000          37.0663           0.0000
     1   11    0.0000    0.0500   1723.4024           703.0000          36.8143           0.0000
     1   12    0.0000    0.0550   1700.4143           703.0000          36.5500           0.0000
     1   13    0.0000    0.0600   1676.3705           703.0000          36.2735           0.0000
     1   14    0.0000    0.0650   1651.3054           703.0000          35.9852           0.0000
     1   15    0.0000    0.0700   1625.2490           703.0000          35.6856           0.0000
     1   16    0.0000    0.0750   1598.2214           703.0000          35.3747           0.0000
     1   17    0.0000    0.0800   1570.2347           703.0000          35.0529           0.0000
     1   18    0.0000    0.0850   1541.2965           703.0000          34.7201           0.0000
     1   19    0.0000    0.0900   1511.4133           703.0000          34.3765           0.0000
     1   20    0.0000    0.0950   1480.5921           703.0000          34.0220           0.0000
     1   21    0.0000    0.1000   1448.8415           703.0000          33.6569           0.0000
     2    1    0.0050    0.0000   1799.8653         40027.0562         182.5076           0.9800
     2    2    0.0050    0.0050   1799.8439         39846.2814         181.6304           0.9771
     2    3    0.0050    0.0100   1799.7257         38870.8069         176.9080           0.9609
     2    4    0.0050    0.0150   1799.4499         36730.7665         166.6172           0.9248
     2    5    0.0050    0.0200   1798.8633         32739.2793         147.7046           0.8544
     2    6    0.0050    0.0250   1797.5705         25985.1635         116.7218           0.7244
     2    7    0.0050    0.0300   1794.2875         16049.6284          74.6373           0.4959
     2    8    0.0050    0.0350   1784.8240          6431.6329          42.5087           0.1823
     2    9    0.0050    0.0400   1766.1539           703.0000          37.3060           0.0000
     2   10    0.0050    0.0450   1745.3123           703.0000          37.0663           0.0000
     2   11    0.0050    0.0500   1723.4024           703.0000          36.8143           0.0000
     2   12    0.0050    0.0550   1700.4143           703.0000          36.5500           0.0000
     2   13    0.0050    0.0600   1676.3705           703.0000          36.2735           0.0000
     2   14    0.0050    0.0650   1651.3054           703.0000          35.9852           0.0000
     2   15    0.0050    0.0700   1625.2490           703.0000          35.6856           0.0000
