 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 Lever rule was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      506.0000 seconds
 Time Step:                                           0.0003 seconds
 Iterations:                                         2024000
 Maximum Temperature :                             1799.7391 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                             1175.5266 K - Change from last time step:      -0.0000 K
 Average(algebraic, non-weigthed) Temperature :    1638.2979 K - Change from last time step:      -0.0001 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1799.7391         38979.5903         177.4336           0.9627
     1    2    0.0000    0.0050   1799.7046         38699.9715         176.0829           0.9581
     1    3    0.0000    0.0100   1799.5146         37216.9479         168.9464           0.9331
     1    4    0.0000    0.0150   1799.0747         34097.4563         154.0960           0.8788
     1    5    0.0000    0.0200   1798.1282         28608.6241         128.5828           0.7767
     1    6    0.0000    0.0250   1795.9185         20066.2119          90.9977           0.5952
     1    7    0.0000    0.0300   1789.8318          9786.6274          52.0191           0.3100
     1    8    0.0000    0.0350   1775.7430          3740.5231          37.7676           0.0485
     1    9    0.0000    0.0400   1755.6583           703.0000          37.1853           0.0000
     1   10    0.0000    0.0450   1734.6182           703.0000          36.9433           0.0000
     1   11    0.0000    0.0500   1712.6898           703.0000          36.6911           0.0000
     1   12    0.0000    0.0550   1689.8512           703.0000          36.4285           0.0000
     1   13    0.0000    0.0600   1666.0858           703.0000          36.1552           0.0000
     1   14    0.0000    0.0650   1641.3819           703.0000          35.8711           0.0000
     1   15    0.0000    0.0700   1615.7330           703.0000          35.5761           0.0000
     1   16    0.0000    0.0750   1589.1365           703.0000          35.2703           0.0000
     1   17    0.0000    0.0800   1561.5939           703.0000          34.9535           0.0000
     1   18    0.0000    0.0850   1533.1094           703.0000          34.6260           0.0000
     1   19    0.0000    0.0900   1503.6895           703.0000          34.2876           0.0000
     1   20    0.0000    0.0950   1473.3426           703.0000          33.9386           0.0000
     1   21    0.0000    0.1000   1442.0782           703.0000          33.5791           0.0000
     2    1    0.0050    0.0000   1799.7391         38979.5849         177.4336           0.9627
     2    2    0.0050    0.0050   1799.7046         38699.9657         176.0829           0.9581
     2    3    0.0050    0.0100   1799.5146         37216.9397         168.9463           0.9331
     2    4    0.0050    0.0150   1799.0747         34097.4436         154.0959           0.8788
     2    5    0.0050    0.0200   1798.1282         28608.6049         128.5827           0.7767
     2    6    0.0050    0.0250   1795.9185         20066.1861          90.9976           0.5952
     2    7    0.0050    0.0300   1789.8317          9786.6056          52.0191           0.3100
     2    8    0.0050    0.0350   1775.7430          3740.5161          37.7676           0.0485
     2    9    0.0050    0.0400   1755.6582           703.0000          37.1853           0.0000
     2   10    0.0050    0.0450   1734.6182           703.0000          36.9433           0.0000
     2   11    0.0050    0.0500   1712.6898           703.0000          36.6911           0.0000
     2   12    0.0050    0.0550   1689.8512           703.0000          36.4285           0.0000
