 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 Lever rule was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      614.0000 seconds
 Time Step:                                           0.0003 seconds
 Iterations:                                         2456000
 Maximum Temperature :                             1799.0732 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                             1157.1338 K - Change from last time step:      -0.0000 K
 Average(algebraic, non-weigthed) Temperature :    1615.8719 K - Change from last time step:      -0.0001 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1799.0732         34088.0732         154.0517           0.8786
     1    2    0.0000    0.0050   1798.9798         33477.5284         151.1728           0.8677
     1    3    0.0000    0.0100   1798.4569         30350.6633         136.5855           0.8101
     1    4    0.0000    0.0150   1797.1796         24360.7355         109.5062           0.6906
     1    5    0.0000    0.0200   1794.0509         15572.3412          72.7704           0.4832
     1    6    0.0000    0.0250   1785.9135          6981.4548          43.8669           0.2054
     1    7    0.0000    0.0300   1770.6482          2989.8149          37.3578           0.0010
     1    8    0.0000    0.0350   1751.4068           703.0000          37.1364           0.0000
     1    9    0.0000    0.0400   1731.3982           703.0000          36.9063           0.0000
     1   10    0.0000    0.0450   1710.6009           703.0000          36.6671           0.0000
     1   11    0.0000    0.0500   1688.9954           703.0000          36.4186           0.0000
     1   12    0.0000    0.0550   1666.5647           703.0000          36.1607           0.0000
     1   13    0.0000    0.0600   1643.2946           703.0000          35.8931           0.0000
     1   14    0.0000    0.0650   1619.1738           703.0000          35.6157           0.0000
     1   15    0.0000    0.0700   1594.1939           703.0000          35.3284           0.0000
     1   16    0.0000    0.0750   1568.3494           703.0000          35.0312           0.0000
     1   17    0.0000    0.0800   1541.6378           703.0000          34.7240           0.0000
     1   18    0.0000    0.0850   1514.0588           703.0000          34.4069           0.0000
     1   19    0.0000    0.0900   1485.6150           703.0000          34.0798           0.0000
     1   20    0.0000    0.0950   1456.3109           703.0000          33.7428           0.0000
     1   21    0.0000    0.1000   1426.1537           703.0000          33.3960           0.0000
     2    1    0.0050    0.0000   1799.0732         34088.0614         154.0516           0.8786
     2    2    0.0050    0.0050   1798.9798         33477.5160         151.1727           0.8677
     2    3    0.0050    0.0100   1798.4569         30350.6478         136.5854           0.8101
     2    4    0.0050    0.0150   1797.1795         24360.7152         109.5062           0.6906
     2    5    0.0050    0.0200   1794.0509         15572.3182          72.7704           0.4832
     2    6    0.0050    0.0250   1785.9135          6981.4409          43.8669           0.2054
     2    7    0.0050    0.0300   1770.6481          2989.8106          37.3578           0.0010
     2    8    0.0050    0.0350   1751.4068           703.0000          37.1364           0.0000
     2    9    0.0050    0.0400   1731.3982           703.0000          36.9063           0.0000
     2   10    0.0050    0.0450   1710.6009           703.0000          36.6671           0.0000
     2   11    0.0050    0.0500   1688.9954           703.0000          36.4186           0.0000
     2   12    0.0050    0.0550   1666.5647           703.0000          36.1607           0.0000
     2   13    0.0050    0.0600   1643.2946           703.0000          35.8931           0.0000
