 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 Lever rule was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      246.0000 seconds
 Time Step:                                           0.0003 seconds
 Iterations:                                          984000
 Maximum Temperature :                             1800.0067 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                             1173.0124 K - Change from last time step:       0.0002 K
 Average(algebraic, non-weigthed) Temperature :    1684.5246 K - Change from last time step:      -0.0000 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1800.0067         41252.3702         188.4703           1.0000
     1    2    0.0000    0.0050   1800.0066         41251.4548         188.4658           1.0000
     1    3    0.0000    0.0100   1800.0058         41244.8156         188.4335           0.9999
     1    4    0.0000    0.0150   1800.0029         41218.8266         188.3067           0.9994
     1    5    0.0000    0.0200   1799.9927         41128.4121         187.8658           0.9980
     1    6    0.0000    0.0250   1799.9601         40842.5466         186.4728           0.9933
     1    7    0.0000    0.0300   1799.8641         40016.8311         182.4580           0.9799
     1    8    0.0000    0.0350   1799.5957         37838.7545         171.9329           0.9436
     1    9    0.0000    0.0400   1798.8497         32654.9046         147.3092           0.8528
     1   10    0.0000    0.0450   1796.5276         21979.8908          99.1343           0.6389
     1   11    0.0000    0.0500   1786.8220          7502.7817          45.2392           0.2264
     1   12    0.0000    0.0550   1762.0068           703.0000          37.2583           0.0000
     1   13    0.0000    0.0600   1733.3321           703.0000          36.9285           0.0000
     1   14    0.0000    0.0650   1703.2240           703.0000          36.5823           0.0000
     1   15    0.0000    0.0700   1671.8776           703.0000          36.2218           0.0000
     1   16    0.0000    0.0750   1639.5351           703.0000          35.8499           0.0000
     1   17    0.0000    0.0800   1606.4617           703.0000          35.4695           0.0000
     1   18    0.0000    0.0850   1572.9141           703.0000          35.0837           0.0000
     1   19    0.0000    0.0900   1539.1133           703.0000          34.6950           0.0000
     1   20    0.0000    0.0950   1505.2228           703.0000          34.3053           0.0000
     1   21    0.0000    0.1000   1471.3341           703.0000          33.9155           0.0000
     2    1    0.0050    0.0000   1800.0067         41252.3702         188.4703           1.0000
     2    2    0.0050    0.0050   1800.0066         41251.4548         188.4658           1.0000
     2    3    0.0050    0.0100   1800.0058         41244.8155         188.4335           0.9999
     2    4    0.0050    0.0150   1800.0029         41218.8263         188.3067           0.9994
     2    5    0.0050    0.0200   1799.9927         41128.4111         187.8658           0.9980
     2    6    0.0050    0.0250   1799.9601         40842.5440         186.4728           0.9933
     2    7    0.0050    0.0300   1799.8641         40016.8244         182.4579           0.9799
     2    8    0.0050    0.0350   1799.5957         37838.7391         171.9328           0.9436
     2    9    0.0050    0.0400   1798.8497         32654.8731         147.3090           0.8528
     2   10    0.0050    0.0450   1796.5276         21979.8375          99.1341           0.6389
     2   11    0.0050    0.0500   1786.8220          7502.7463          45.2391           0.2264
     2   12    0.0050    0.0550   1762.0068           703.0000          37.2583           0.0000
