 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 Lever rule was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      326.0000 seconds
 Time Step:                                           0.0003 seconds
 Iterations:                                         1304000
 Maximum Temperature :                             1800.0001 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                             1193.4826 K - Change from last time step:       0.0000 K
 Average(algebraic, non-weigthed) Temperature :    1673.0462 K - Change from last time step:      -0.0000 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1800.0001         41194.0876         188.1860           0.9990
     1    2    0.0000    0.0050   1799.9980         41175.4887         188.0953           0.9987
     1    3    0.0000    0.0100   1799.9854         41064.4484         187.5540           0.9969
     1    4    0.0000    0.0150   1799.9505         40758.6770         186.0644           0.9920
     1    5    0.0000    0.0200   1799.8631         40008.7391         182.4187           0.9797
     1    6    0.0000    0.0250   1799.6539         38295.3064         174.1310           0.9513
     1    7    0.0000    0.0300   1799.1590         34663.8703         156.7752           0.8888
     1    8    0.0000    0.0350   1797.9376         27667.8202         124.3016           0.7582
     1    9    0.0000    0.0400   1794.3660         16212.9232          75.2802           0.5001
     1   10    0.0000    0.0450   1782.5175          5482.3552          40.4194           0.1397
     1   11    0.0000    0.0500   1760.0922           703.0000          37.2363           0.0000
     1   12    0.0000    0.0550   1735.6612           703.0000          36.9553           0.0000
     1   13    0.0000    0.0600   1710.0679           703.0000          36.6610           0.0000
     1   14    0.0000    0.0650   1683.3379           703.0000          36.3536           0.0000
     1   15    0.0000    0.0700   1655.5131           703.0000          36.0336           0.0000
     1   16    0.0000    0.0750   1626.6466           703.0000          35.7016           0.0000
     1   17    0.0000    0.0800   1596.7971           703.0000          35.3584           0.0000
     1   18    0.0000    0.0850   1566.0229           703.0000          35.0045           0.0000
     1   19    0.0000    0.0900   1534.3756           703.0000          34.6405           0.0000
     1   20    0.0000    0.0950   1501.8963           703.0000          34.2670           0.0000
     1   21    0.0000    0.1000   1468.6123           703.0000          33.8842           0.0000
     2    1    0.0050    0.0000   1800.0001         41194.0873         188.1860           0.9990
     2    2    0.0050    0.0050   1799.9980         41175.4883         188.0953           0.9987
     2    3    0.0050    0.0100   1799.9854         41064.4474         187.5540           0.9969
     2    4    0.0050    0.0150   1799.9505         40758.6748         186.0644           0.9920
     2    5    0.0050    0.0200   1799.8631         40008.7344         182.4187           0.9797
     2    6    0.0050    0.0250   1799.6539         38295.2967         174.1309           0.9513
     2    7    0.0050    0.0300   1799.1590         34663.8521         156.7752           0.8888
     2    8    0.0050    0.0350   1797.9376         27667.7897         124.3015           0.7582
     2    9    0.0050    0.0400   1794.3660         16212.8837          75.2800           0.5001
     2   10    0.0050    0.0450   1782.5174          5482.3381          40.4194           0.1397
     2   11    0.0050    0.0500   1760.0921           703.0000          37.2363           0.0000
     2   12    0.0050    0.0550   1735.6612           703.0000          36.9553           0.0000
     2   13    0.0050    0.0600   1710.0678           703.0000          36.6610           0.0000
