 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 Lever rule was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      158.0000 seconds
 Time Step:                                           0.0003 seconds
 Iterations:                                          632000
 Maximum Temperature :                             1800.0561 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                              977.4962 K - Change from last time step:      -0.0000 K
 Average(algebraic, non-weigthed) Temperature :    1688.9392 K - Change from last time step:      -0.0001 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1800.0561           720.0000         188.4792           1.0000
     1    2    0.0000    0.0050   1800.0555           720.0000         188.4792           1.0000
     1    3    0.0000    0.0100   1800.0521           720.0000         188.4790           1.0000
     1    4    0.0000    0.0150   1800.0463           720.0000         188.4787           1.0000
     1    5    0.0000    0.0200   1800.0382           720.0000         188.4782           1.0000
     1    6    0.0000    0.0250   1800.0283           720.0000         188.4776           1.0000
     1    7    0.0000    0.0300   1800.0170           720.0000         188.4770           1.0000
     1    8    0.0000    0.0350   1800.0047         41234.8526         188.3849           0.9997
     1    9    0.0000    0.0400   1799.9678         40909.6861         186.7998           0.9944
     1   10    0.0000    0.0450   1799.8026         39501.1798         179.9575           0.9714
     1   11    0.0000    0.0500   1799.1978         34929.1164         158.0326           0.8935
     1   12    0.0000    0.0550   1796.8011         22932.8083         103.2546           0.6599
     1   13    0.0000    0.0600   1782.8716          5612.0325          40.6833           0.1457
     1   14    0.0000    0.0650   1746.4402           703.0000          37.0793           0.0000
     1   15    0.0000    0.0700   1705.3758           703.0000          36.6070           0.0000
     1   16    0.0000    0.0750   1661.0893           703.0000          36.0977           0.0000
     1   17    0.0000    0.0800   1613.5577           703.0000          35.5511           0.0000
     1   18    0.0000    0.0850   1562.7785           703.0000          34.9672           0.0000
     1   19    0.0000    0.0900   1508.7579           703.0000          34.3459           0.0000
     1   20    0.0000    0.0950   1451.4972           703.0000          33.6874           0.0000
     1   21    0.0000    0.1000   1390.9763           703.0000          32.9914           0.0000
     2    1    0.0050    0.0000   1800.0561           720.0000         188.4792           1.0000
     2    2    0.0050    0.0050   1800.0555           720.0000         188.4792           1.0000
     2    3    0.0050    0.0100   1800.0521           720.0000         188.4790           1.0000
     2    4    0.0050    0.0150   1800.0463           720.0000         188.4787           1.0000
     2    5    0.0050    0.0200   1800.0382           720.0000         188.4782           1.0000
     2    6    0.0050    0.0250   1800.0283           720.0000         188.4776           1.0000
     2    7    0.0050    0.0300   1800.0170           720.0000         188.4770           1.0000
     2    8    0.0050    0.0350   1800.0047         41234.8499         188.3848           0.9997
     2    9    0.0050    0.0400   1799.9678         40909.6809         186.7998           0.9944
     2   10    0.0050    0.0450   1799.8026         39501.1643         179.9574           0.9714
     2   11    0.0050    0.0500   1799.1978         34929.0755         158.0324           0.8935
     2   12    0.0050    0.0550   1796.8011         22932.7233         103.2542           0.6599
     2   13    0.0050    0.0600   1782.8715          5611.9903          40.6832           0.1457
