 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 Lever rule was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      474.0000 seconds
 Time Step:                                           0.0002 seconds
 Iterations:                                         1896000
 Maximum Temperature :                             1799.8367 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                             1180.5621 K - Change from last time step:      -0.0000 K
 Average(algebraic, non-weigthed) Temperature :    1644.7852 K - Change from last time step:      -0.0001 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1799.8367         39785.4790         181.3354           0.9761
     1    2    0.0000    0.0050   1799.8121         39579.9873         180.3393           0.9727
     1    3    0.0000    0.0100   1799.6767         38476.8578         175.0063           0.9543
     1    4    0.0000    0.0150   1799.3620         36087.0436         163.5413           0.9137
     1    5    0.0000    0.0200   1798.6931         31704.6406         142.8686           0.8354
     1    6    0.0000    0.0250   1797.2006         24444.2566         109.8746           0.6923
     1    7    0.0000    0.0300   1793.2877         14175.9370          67.4219           0.4451
     1    8    0.0000    0.0350   1782.3619          5426.9887          40.3091           0.1370
     1    9    0.0000    0.0400   1763.0786           703.0000          37.2706           0.0000
     1   10    0.0000    0.0450   1742.1573           703.0000          37.0300           0.0000
     1   11    0.0000    0.0500   1720.2573           703.0000          36.7782           0.0000
     1   12    0.0000    0.0550   1697.3573           703.0000          36.5148           0.0000
     1   13    0.0000    0.0600   1673.4494           703.0000          36.2399           0.0000
     1   14    0.0000    0.0650   1648.5366           703.0000          35.9534           0.0000
     1   15    0.0000    0.0700   1622.6287           703.0000          35.6554           0.0000
     1   16    0.0000    0.0750   1595.7388           703.0000          35.3462           0.0000
     1   17    0.0000    0.0800   1567.8804           703.0000          35.0258           0.0000
     1   18    0.0000    0.0850   1539.0659           703.0000          34.6945           0.0000
     1   19    0.0000    0.0900   1509.3065           703.0000          34.3522           0.0000
     1   20    0.0000    0.0950   1478.6125           703.0000          33.9992           0.0000
     1   21    0.0000    0.1000   1446.9942           703.0000          33.6356           0.0000
     2    1    0.0050    0.0000   1799.8366         39785.4750         181.3354           0.9761
     2    2    0.0050    0.0050   1799.8121         39579.9829         180.3393           0.9727
     2    3    0.0050    0.0100   1799.6767         38476.8514         175.0063           0.9543
     2    4    0.0050    0.0150   1799.3620         36087.0333         163.5413           0.9137
     2    5    0.0050    0.0200   1798.6931         31704.6241         142.8685           0.8354
     2    6    0.0050    0.0250   1797.2006         24444.2322         109.8745           0.6923
     2    7    0.0050    0.0300   1793.2877         14175.9085          67.4218           0.4450
     2    8    0.0050    0.0350   1782.3618          5426.9752          40.3091           0.1370
     2    9    0.0050    0.0400   1763.0785           703.0000          37.2706           0.0000
     2   10    0.0050    0.0450   1742.1573           703.0000          37.0300           0.0000
     2   11    0.0050    0.0500   1720.2573           703.0000          36.7782           0.0000
     2   12    0.0050    0.0550   1697.3572           703.0000          36.5148           0.0000
     2   13    0.0050    0.0600   1673.4494           703.0000          36.2399           0.0000
     2   14    0.0050    0.0650   1648.5365           703.0000          35.9534           0.0000
     2   15    0.0050    0.0700   1622.6287           703.0000          35.6554           0.0000
     2   16    0.0050    0.0750   1595.7388           703.0000          35.3462           0.0000
     2   17    0.0050    0.0800   1567.8804           703.0000          35.0258           0.0000
     2   18    0.0050    0.0850   1539.0659           703.0000          34.6945           0.0000
     2   19    0.0050    0.0900   1509.3065           703.0000          34.3522           0.0000
     2   20    0.0050    0.0950   1478.6125           703.0000          33.9992           0.0000
     2   21    0.0050    0.1000   1446.9941           703.0000          33.6356           0.0000
     3    1    0.0100    0.0000   1799.8366         39785.4713         181.3354           0.9761
     3    2    0.0100    0.0050   1799.8121         39579.9788         180.3393           0.9727
     3    3    0.0100    0.0100   1799.6767         38476.8453         175.0062           0.9543
     3    4    0.0100    0.0150   1799.3620         36087.0235         163.5412           0.9137
     3    5    0.0100    0.0200   1798.6931         31704.6085         142.8685           0.8354
     3    6    0.0100    0.0250   1797.2006         24444.2091         109.8744           0.6923
     3    7    0.0100    0.0300   1793.2877         14175.8815          67.4217           0.4450
     3    8    0.0100    0.0350   1782.3618          5426.9624          40.3090           0.1370
     3    9    0.0100    0.0400   1763.0785           703.0000          37.2706           0.0000
     3   10    0.0100    0.0450   1742.1572           703.0000          37.0300           0.0000
     3   11    0.0100    0.0500   1720.2572           703.0000          36.7782           0.0000
     3   12    0.0100    0.0550   1697.3572           703.0000          36.5148           0.0000
     3   13    0.0100    0.0600   1673.4493           703.0000          36.2399           0.0000
     3   14    0.0100    0.0650   1648.5365           703.0000          35.9534           0.0000
     3   15    0.0100    0.0700   1622.6286           703.0000          35.6554           0.0000
     3   16    0.0100    0.0750   1595.7387           703.0000          35.3462           0.0000
     3   17    0.0100    0.0800   1567.8803           703.0000          35.0258           0.0000
     3   18    0.0100    0.0850   1539.0658           703.0000          34.6945           0.0000
