 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 Lever rule was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      232.0000 seconds
 Time Step:                                           0.0002 seconds
 Iterations:                                          928000
 Maximum Temperature :                             1800.0068 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                             1162.5430 K - Change from last time step:       0.0002 K
 Average(algebraic, non-weigthed) Temperature :    1685.8581 K - Change from last time step:      -0.0000 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1800.0068         41253.2555         188.4746           1.0000
     1    2    0.0000    0.0050   1800.0067         41252.8987         188.4729           1.0000
     1    3    0.0000    0.0100   1800.0064         41250.0534         188.4590           0.9999
     1    4    0.0000    0.0150   1800.0049         41237.2119         188.3964           0.9997
     1    5    0.0000    0.0200   1799.9992         41186.6881         188.1500           0.9989
     1    6    0.0000    0.0250   1799.9792         41010.1374         187.2893           0.9961
     1    7    0.0000    0.0300   1799.9156         40456.3407         184.5933           0.9871
     1    8    0.0000    0.0350   1799.7275         38885.2945         176.9779           0.9612
     1    9    0.0000    0.0400   1799.1889         34868.0366         157.7429           0.8924
     1   10    0.0000    0.0450   1797.5475         25885.1926         116.2747           0.7223
     1   11    0.0000    0.0500   1790.9466         10933.2914          55.7934           0.3479
     1   12    0.0000    0.0550   1768.9097           703.0000          37.3377           0.0000
     1   13    0.0000    0.0600   1739.2635           703.0000          36.9967           0.0000
     1   14    0.0000    0.0650   1707.5288           703.0000          36.6318           0.0000
     1   15    0.0000    0.0700   1674.5454           703.0000          36.2525           0.0000
     1   16    0.0000    0.0750   1640.7226           703.0000          35.8635           0.0000
     1   17    0.0000    0.0800   1606.3783           703.0000          35.4686           0.0000
     1   18    0.0000    0.0850   1571.8120           703.0000          35.0710           0.0000
     1   19    0.0000    0.0900   1537.2903           703.0000          34.6740           0.0000
     1   20    0.0000    0.0950   1503.0193           703.0000          34.2799           0.0000
     1   21    0.0000    0.1000   1469.1172           703.0000          33.8900           0.0000
     2    1    0.0050    0.0000   1800.0068         41253.2555         188.4746           1.0000
     2    2    0.0050    0.0050   1800.0067         41252.8987         188.4729           1.0000
     2    3    0.0050    0.0100   1800.0064         41250.0533         188.4590           0.9999
     2    4    0.0050    0.0150   1800.0049         41237.2117         188.3964           0.9997
     2    5    0.0050    0.0200   1799.9992         41186.6875         188.1499           0.9989
     2    6    0.0050    0.0250   1799.9792         41010.1356         187.2893           0.9961
     2    7    0.0050    0.0300   1799.9156         40456.3357         184.5933           0.9871
     2    8    0.0050    0.0350   1799.7275         38885.2822         176.9779           0.9612
     2    9    0.0050    0.0400   1799.1889         34868.0096         157.7428           0.8924
     2   10    0.0050    0.0450   1797.5475         25885.1432         116.2745           0.7223
     2   11    0.0050    0.0500   1790.9465         10933.2378          55.7932           0.3479
     2   12    0.0050    0.0550   1768.9096           703.0000          37.3377           0.0000
