 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 Lever rule was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      198.0000 seconds
 Time Step:                                           0.0002 seconds
 Iterations:                                          792000
 Maximum Temperature :                             1800.0068 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                             1111.8751 K - Change from last time step:       0.0006 K
 Average(algebraic, non-weigthed) Temperature :    1686.7846 K - Change from last time step:       0.0000 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1800.0068           720.0000         188.4764           1.0000
     1    2    0.0000    0.0050   1800.0068           720.0000         188.4764           1.0000
     1    3    0.0000    0.0100   1800.0068         41253.6018         188.4763           1.0000
     1    4    0.0000    0.0150   1800.0067         41253.1492         188.4741           1.0000
     1    5    0.0000    0.0200   1800.0062         41248.2315         188.4501           0.9999
     1    6    0.0000    0.0250   1800.0026         41216.3692         188.2947           0.9994
     1    7    0.0000    0.0300   1799.9858         41068.2594         187.5725           0.9970
     1    8    0.0000    0.0350   1799.9227         40518.2131         184.8942           0.9881
     1    9    0.0000    0.0400   1799.7147         38781.9488         176.4787           0.9594
     1   10    0.0000    0.0450   1799.0598         33999.4858         153.6334           0.8770
     1   11    0.0000    0.0500   1796.7451         22732.7980         102.3862           0.6555
     1   12    0.0000    0.0550   1784.9150          6474.7573          42.6117           0.1842
     1   13    0.0000    0.0600   1753.5686           703.0000          37.1612           0.0000
     1   14    0.0000    0.0650   1717.9949           703.0000          36.7521           0.0000
     1   15    0.0000    0.0700   1680.5095           703.0000          36.3211           0.0000
     1   16    0.0000    0.0750   1641.6316           703.0000          35.8740           0.0000
     1   17    0.0000    0.0800   1602.0708           703.0000          35.4190           0.0000
     1   18    0.0000    0.0850   1562.6927           703.0000          34.9662           0.0000
     1   19    0.0000    0.0900   1524.4201           703.0000          34.5260           0.0000
     1   20    0.0000    0.0950   1488.0761           703.0000          34.1081           0.0000
     1   21    0.0000    0.1000   1454.2018           703.0000          33.7185           0.0000
     2    1    0.0050    0.0000   1800.0068           720.0000         188.4764           1.0000
     2    2    0.0050    0.0050   1800.0068           720.0000         188.4764           1.0000
     2    3    0.0050    0.0100   1800.0068         41253.6018         188.4763           1.0000
     2    4    0.0050    0.0150   1800.0067         41253.1492         188.4741           1.0000
     2    5    0.0050    0.0200   1800.0062         41248.2314         188.4501           0.9999
     2    6    0.0050    0.0250   1800.0026         41216.3686         188.2947           0.9994
     2    7    0.0050    0.0300   1799.9858         41068.2574         187.5725           0.9970
     2    8    0.0050    0.0350   1799.9227         40518.2073         184.8942           0.9881
     2    9    0.0050    0.0400   1799.7147         38781.9334         176.4787           0.9594
     2   10    0.0050    0.0450   1799.0598         33999.4497         153.6332           0.8770
     2   11    0.0050    0.0500   1796.7451         22732.7276         102.3859           0.6555
     2   12    0.0050    0.0550   1784.9149          6474.7160          42.6116           0.1842
     2   13    0.0050    0.0600   1753.5685           703.0000          37.1612           0.0000
     2   14    0.0050    0.0650   1717.9948           703.0000          36.7521           0.0000
     2   15    0.0050    0.0700   1680.5094           703.0000          36.3211           0.0000
     2   16    0.0050    0.0750   1641.6316           703.0000          35.8740           0.0000
     2   17    0.0050    0.0800   1602.0709           703.0000          35.4190           0.0000
     2   18    0.0050    0.0850   1562.6928           703.0000          34.9662           0.0000
     2   19    0.0050    0.0900   1524.4203           703.0000          34.5260           0.0000
     2   20    0.0050    0.0950   1488.0762           703.0000          34.1081           0.0000
     2   21    0.0050    0.1000   1454.2020           703.0000          33.7185           0.0000
     3    1    0.0100    0.0000   1800.0068           720.0000         188.4764           1.0000
     3    2    0.0100    0.0050   1800.0068           720.0000         188.4764           1.0000
     3    3    0.0100    0.0100   1800.0068         41253.6017         188.4763           1.0000
     3    4    0.0100    0.0150   1800.0067         41253.1492         188.4741           1.0000
     3    5    0.0100    0.0200   1800.0062         41248.2313         188.4501           0.9999
     3    6    0.0100    0.0250   1800.0026         41216.3681         188.2947           0.9994
     3    7    0.0100    0.0300   1799.9858         41068.2555         187.5725           0.9970
     3    8    0.0100    0.0350   1799.9227         40518.2017         184.8942           0.9881
     3    9    0.0100    0.0400   1799.7147         38781.9190         176.4786           0.9594
     3   10    0.0100    0.0450   1799.0598         33999.4159         153.6330           0.8770
     3   11    0.0100    0.0500   1796.7451         22732.6619         102.3856           0.6555
     3   12    0.0100    0.0550   1784.9148          6474.6770          42.6115           0.1842
     3   13    0.0100    0.0600   1753.5684           703.0000          37.1612           0.0000
     3   14    0.0100    0.0650   1717.9947           703.0000          36.7521           0.0000
     3   15    0.0100    0.0700   1680.5094           703.0000          36.3211           0.0000
     3   16    0.0100    0.0750   1641.6316           703.0000          35.8740           0.0000
     3   17    0.0100    0.0800   1602.0709           703.0000          35.4190           0.0000
     3   18    0.0100    0.0850   1562.6929           703.0000          34.9662           0.0000
     3   19    0.0100    0.0900   1524.4203           703.0000          34.5260           0.0000
     3   20    0.0100    0.0950   1488.0763           703.0000          34.1081           0.0000
     3   21    0.0100    0.1000   1454.2020           703.0000          33.7185           0.0000
     4    1    0.0150    0.0000   1800.0068           720.0000         188.4764           1.0000
     4    2    0.0150    0.0050   1800.0068           720.0000         188.4764           1.0000
     4    3    0.0150    0.0100   1800.0068         41253.6018         188.4763           1.0000
     4    4    0.0150    0.0150   1800.0067         41253.1492         188.4741           1.0000
     4    5    0.0150    0.0200   1800.0062         41248.2312         188.4501           0.9999
     4    6    0.0150    0.0250   1800.0026         41216.3676         188.2947           0.9994
     4    7    0.0150    0.0300   1799.9858         41068.2538         187.5725           0.9970
     4    8    0.0150    0.0350   1799.9227         40518.1967         184.8942           0.9881
     4    9    0.0150    0.0400   1799.7147         38781.9057         176.4785           0.9594
     4   10    0.0150    0.0450   1799.0598         33999.3841         153.6329           0.8770
     4   11    0.0150    0.0500   1796.7451         22732.5993         102.3854           0.6555
     4   12    0.0150    0.0550   1784.9148          6474.6396          42.6114           0.1842
     4   13    0.0150    0.0600   1753.5683           703.0000          37.1612           0.0000
     4   14    0.0150    0.0650   1717.9947           703.0000          36.7521           0.0000
     4   15    0.0150    0.0700   1680.5093           703.0000          36.3211           0.0000
     4   16    0.0150    0.0750   1641.6315           703.0000          35.8740           0.0000
     4   17    0.0150    0.0800   1602.0709           703.0000          35.4190           0.0000
     4   18    0.0150    0.0850   1562.6929           703.0000          34.9662           0.0000
     4   19    0.0150    0.0900   1524.4204           703.0000          34.5260           0.0000
     4   20    0.0150    0.0950   1488.0763           703.0000          34.1081           0.0000
     4   21    0.0150    0.1000   1454.2021           703.0000          33.7185           0.0000
     5    1    0.0200    0.0000   1800.0068           720.0000         188.4764           1.0000
     5    2    0.0200    0.0050   1800.0068           720.0000         188.4764           1.0000
     5    3    0.0200    0.0100   1800.0068         41253.6018         188.4763           1.0000
     5    4    0.0200    0.0150   1800.0067         41253.1491         188.4741           1.0000
     5    5    0.0200    0.0200   1800.0062         41248.2310         188.4501           0.9999
     5    6    0.0200    0.0250   1800.0026         41216.3672         188.2947           0.9994
     5    7    0.0200    0.0300   1799.9858         41068.2523         187.5725           0.9970
     5    8    0.0200    0.0350   1799.9227         40518.1920         184.8941           0.9881
     5    9    0.0200    0.0400   1799.7147         38781.8933         176.4785           0.9594
     5   10    0.0200    0.0450   1799.0598         33999.3546         153.6328           0.8770
     5   11    0.0200    0.0500   1796.7451         22732.5410         102.3851           0.6555
     5   12    0.0200    0.0550   1784.9147          6474.6045          42.6113           0.1841
     5   13    0.0200    0.0600   1753.5682           703.0000          37.1612           0.0000
     5   14    0.0200    0.0650   1717.9946           703.0000          36.7521           0.0000
     5   15    0.0200    0.0700   1680.5092           703.0000          36.3211           0.0000
     5   16    0.0200    0.0750   1641.6315           703.0000          35.8740           0.0000
     5   17    0.0200    0.0800   1602.0708           703.0000          35.4190           0.0000
