 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 A linear relationship was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      682.0000 seconds
 Time Step:                                           0.0002 seconds
 Iterations:                                         2728000
 Maximum Temperature :                             1788.8315 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                             1145.7049 K - Change from last time step:      -0.0000 K
 Average(algebraic, non-weigthed) Temperature :    1600.2775 K - Change from last time step:      -0.0001 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1788.8315         10301.6542          95.5086           0.6210
     1    2    0.0000    0.0050   1788.6538         10301.6542          94.3843           0.6149
     1    3    0.0000    0.0100   1787.7132         10301.6542          88.6160           0.5830
     1    4    0.0000    0.0150   1785.7279         10301.6542          77.4553           0.5157
     1    5    0.0000    0.0200   1781.8176         10301.6542          59.4892           0.3831
     1    6    0.0000    0.0250   1772.9967         10301.6542          38.4369           0.0839
     1    7    0.0000    0.0300   1755.3935           703.0000          37.1822           0.0000
     1    8    0.0000    0.0350   1736.8364           703.0000          36.9688           0.0000
     1    9    0.0000    0.0400   1717.5149           703.0000          36.7466           0.0000
     1   10    0.0000    0.0450   1697.3874           703.0000          36.5152           0.0000
     1   11    0.0000    0.0500   1676.4224           703.0000          36.2741           0.0000
     1   12    0.0000    0.0550   1654.5977           703.0000          36.0231           0.0000
     1   13    0.0000    0.0600   1631.8992           703.0000          35.7620           0.0000
     1   14    0.0000    0.0650   1608.3194           703.0000          35.4909           0.0000
     1   15    0.0000    0.0700   1583.8563           703.0000          35.2095           0.0000
     1   16    0.0000    0.0750   1558.5118           703.0000          34.9181           0.0000
     1   17    0.0000    0.0800   1532.2909           703.0000          34.6165           0.0000
     1   18    0.0000    0.0850   1505.2003           703.0000          34.3050           0.0000
     1   19    0.0000    0.0900   1477.2484           703.0000          33.9836           0.0000
     1   20    0.0000    0.0950   1448.4440           703.0000          33.6523           0.0000
     1   21    0.0000    0.1000   1418.7967           703.0000          33.3114           0.0000
     2    1    0.0050    0.0000   1788.8315         10301.6542          95.5085           0.6210
     2    2    0.0050    0.0050   1788.6538         10301.6542          94.3843           0.6149
     2    3    0.0050    0.0100   1787.7132         10301.6542          88.6159           0.5830
     2    4    0.0050    0.0150   1785.7279         10301.6542          77.4552           0.5157
     2    5    0.0050    0.0200   1781.8176         10301.6542          59.4892           0.3831
     2    6    0.0050    0.0250   1772.9967         10301.6542          38.4369           0.0839
     2    7    0.0050    0.0300   1755.3935           703.0000          37.1822           0.0000
     2    8    0.0050    0.0350   1736.8364           703.0000          36.9688           0.0000
     2    9    0.0050    0.0400   1717.5149           703.0000          36.7466           0.0000
     2   10    0.0050    0.0450   1697.3873           703.0000          36.5152           0.0000
     2   11    0.0050    0.0500   1676.4223           703.0000          36.2741           0.0000
     2   12    0.0050    0.0550   1654.5977           703.0000          36.0231           0.0000
     2   13    0.0050    0.0600   1631.8992           703.0000          35.7620           0.0000
