 ====================================================================================
               Steady state solution for a 2D thermal profile                        
                  in cross section of a slab or billet in                            
                             Continuous Casting                                      
 ====================================================================================
                                                                                     
   Heat Transfer is calculated considering only heat conduction                      
  and convection in liquid metal is taken into consideration by                      
  artificially increasing thermal conductivity                                       
                                                                                     
  Heat exchanged due to solidification is modelled by                                
  equivalent heat capacity method.                                                   
                                                                                     
  Boundary Conditions are:                                                           
  1) In the mold, a specified heat flow as a function of time                        
  2) In secondary cooling, a specified heat transfer coefficient                     
     and also radiactive heat transfer.                                              
                                                                                     
  Velocity of strand is constant and equal to v sub z                                
                                                                                     
 ====================================================================================
 Author: Dickson Alves de Souza                                                      
                                                                                     
 Based on lectures by professor Roberto Parreiras Tavares                            
                                                                                     
 and book Numerical Heat Transfer and Fluid Flow                                     
 by Suhas V. Patankar (1980)                                                         
                                                                                     
 Federal University of Minas Gerais (UFMG)                                           
 December 03rd, 2017                                                                 
 ====================================================================================
                              Geometry:                                              
                                                                                     
 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21
                                                                                     
 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds
                                                                                     
 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds
                                                                                     
 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds
                                                                                     
 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds
                                                                                     
 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:                                   
                                                                                     
 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================
  
  
  
 ====================================================================================
                              Solver:                                      
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000
 
 A linear relationship was used to calculate liquid fraction.
 ====================================================================================
  
  
  
 ===========================================================================================================
                    Calculation Results                                              
 Current time:                                       14.0000 seconds               
 Time Step:                                           0.0002 seconds               
 Iterations:                                           56000
 Maximum Temperature :                             1804.9562 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                              779.3567 K - Change from last time step:      -0.0072 K
 Average(algebraic, non-weigthed) Temperature :    1770.4521 K - Change from last time step:      -0.0005 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1804.9562           720.0000         188.7610           1.0000
     1    2    0.0000    0.0050   1804.9536           720.0000         188.7608           1.0000
     1    3    0.0000    0.0100   1804.9403           720.0000         188.7601           1.0000
     1    4    0.0000    0.0150   1804.9143           720.0000         188.7586           1.0000
     1    5    0.0000    0.0200   1804.8721           720.0000         188.7561           1.0000
     1    6    0.0000    0.0250   1804.8085           720.0000         188.7525           1.0000
     1    7    0.0000    0.0300   1804.7166           720.0000         188.7472           1.0000
     1    8    0.0000    0.0350   1804.5875           720.0000         188.7398           1.0000
     1    9    0.0000    0.0400   1804.4111           720.0000         188.7296           1.0000
     1   10    0.0000    0.0450   1804.1754           720.0000         188.7161           1.0000
     1   11    0.0000    0.0500   1803.8676           720.0000         188.6984           1.0000
     1   12    0.0000    0.0550   1803.4743           720.0000         188.6758           1.0000
     1   13    0.0000    0.0600   1802.9821           720.0000         188.6475           1.0000
     1   14    0.0000    0.0650   1802.3800           720.0000         188.6129           1.0000
     1   15    0.0000    0.0700   1801.6633           720.0000         188.5716           1.0000
     1   16    0.0000    0.0750   1800.8392           720.0000         188.5243           1.0000
     1   17    0.0000    0.0800   1799.9269         10301.6542         187.6556           0.9973
     1   18    0.0000    0.0850   1798.0156         10301.6542         168.6956           0.9325
     1   19    0.0000    0.0900   1786.2756         10301.6542          80.3970           0.5343
     1   20    0.0000    0.0950   1655.4794           703.0000          36.0332           0.0000
     1   21    0.0000    0.1000   1416.1675           703.0000          33.2811           0.0000
     2    1    0.0050    0.0000   1804.9562           720.0000         188.7610           1.0000
     2    2    0.0050    0.0050   1804.9536           720.0000         188.7608           1.0000
     2    3    0.0050    0.0100   1804.9402           720.0000         188.7601           1.0000
     2    4    0.0050    0.0150   1804.9143           720.0000         188.7586           1.0000
     2    5    0.0050    0.0200   1804.8721           720.0000         188.7561           1.0000
     2    6    0.0050    0.0250   1804.8085           720.0000         188.7525           1.0000
     2    7    0.0050    0.0300   1804.7166           720.0000         188.7472           1.0000
     2    8    0.0050    0.0350   1804.5875           720.0000         188.7398           1.0000
     2    9    0.0050    0.0400   1804.4110           720.0000         188.7296           1.0000
     2   10    0.0050    0.0450   1804.1754           720.0000         188.7161           1.0000
     2   11    0.0050    0.0500   1803.8676           720.0000         188.6984           1.0000
     2   12    0.0050    0.0550   1803.4743           720.0000         188.6758           1.0000
     2   13    0.0050    0.0600   1802.9821           720.0000         188.6475           1.0000
     2   14    0.0050    0.0650   1802.3800           720.0000         188.6128           1.0000
     2   15    0.0050    0.0700   1801.6633           720.0000         188.5716           1.0000
     2   16    0.0050    0.0750   1800.8392           720.0000         188.5243           1.0000
     2   17    0.0050    0.0800   1799.9269         10301.6542         187.6552           0.9973
     2   18    0.0050    0.0850   1798.0156         10301.6542         168.6947           0.9325
     2   19    0.0050    0.0900   1786.2751         10301.6542          80.3943           0.5343
     2   20    0.0050    0.0950   1655.4768           703.0000          36.0332           0.0000
     2   21    0.0050    0.1000   1416.1643           703.0000          33.2811           0.0000
     3    1    0.0100    0.0000   1804.9562           720.0000         188.7610           1.0000
     3    2    0.0100    0.0050   1804.9536           720.0000         188.7608           1.0000
     3    3    0.0100    0.0100   1804.9402           720.0000         188.7601           1.0000
